fight_id,event_date,weight_class,outcome,fighter_a_name,fighter_b_name,fighter_a_age,fighter_a_height,fighter_a_reach,fighter_a_weight,fighter_a_total_fights,fighter_a_win_percentage,fighter_a_recent_wins,fighter_a_win_streak,fighter_a_sig_strikes_landed_per_min,fighter_a_sig_strikes_absorbed_per_min,fighter_a_sig_strike_accuracy,fighter_a_sig_strike_defense,fighter_a_takedowns_landed_per_fight,fighter_a_takedown_attempts_per_fight,fighter_a_takedown_defense,fighter_a_submission_attempts_per_fight,fighter_a_ko_tko_win_rate,fighter_a_control_time_per_fight,fighter_b_age,fighter_b_height,fighter_b_reach,fighter_b_weight,fighter_b_total_fights,fighter_b_win_percentage,fighter_b_recent_wins,fighter_b_win_streak,fighter_b_sig_strikes_landed_per_min,fighter_b_sig_strikes_absorbed_per_min,fighter_b_sig_strike_accuracy,fighter_b_sig_strike_defense,fighter_b_takedowns_landed_per_fight,fighter_b_takedown_attempts_per_fight,fighter_b_takedown_defense,fighter_b_submission_attempts_per_fight,fighter_b_ko_tko_win_rate,fighter_b_control_time_per_fight,sig_strikes_landed_diff,sig_strike_accuracy_diff,takedowns_landed_diff,takedown_defense_diff,reach_diff,age_diff
00c6a2ef07ca51da,"December 14, 2024",Welterweight,0,Colby Covington,Joaquin Buckley,37.2,71.0,72.0,170.0,22,77.27272727,6,0,3.81,3.09,38,54,3.64,8.666666667,68,0.2,29.41176471,14.96598639,31.0,70.0,76.0,170.0,27,77.77777778,7,0,4.22,3.13,37,59,1.78,3.955555556,73,0.1,52.38095238,5.306122449,-0.41,1,1.86,-5,-4.0,6.2
7.52E+15,"December 14, 2024",Featherweight,1,Cub Swanson,Billy Quarantillo,41.5,68.0,70.0,145.0,44,68.18181818,5,1,4.79,4.0,51,59,1.01,2.02,63,0.4,33.33333333,0.862068966,36.4,70.0,70.0,145.0,25,72.0,5,0,7.44,5.83,54,42,1.47,6.125,61,1.0,33.33333333,10.94827586,-2.65,-3,-0.46,2,0.0,5.1
1a635a5e4551e7d5,"December 14, 2024",Flyweight,1,Manel Kape,Bruno Silva,31.5,65.0,68.0,125.0,28,75.0,6,0,5.04,4.05,55,57,0.42,1.4,81,0.3,19.04761905,0.083682008,35.2,64.0,65.0,125.0,22,63.63636364,4,0,3.54,4.08,49,52,1.92,7.68,60,0.2,28.57142857,0.0,1.5,6,-1.5,21,3.0,-3.7
7b1bc4ff776f12c1,"December 14, 2024",Light Heavyweight,0,Vitor Petrino,Dustin Jacoby,27.7,74.0,77.0,205.0,13,84.61538462,5,0,2.83,2.71,45,47,3.24,5.684210526,71,0.6,27.27272727,2.912621359,37.1,75.0,76.0,205.0,30,66.66666667,5,0,5.33,4.05,47,57,0.33,1.32,62,0.0,30.0,1.45631068,-2.5,-2,2.91,9,1.0,-9.4
5238f6470d0557fb,"December 14, 2024",Bantamweight,0,Adrian Yanez,Daniel Marcos,31.4,67.0,70.0,135.0,23,73.91304348,7,0,6.23,5.75,41,54,0.0,0.0,81,0.0,47.05882353,5.0,32.2,67.0,69.0,135.0,18,94.44444444,5,0,5.11,3.88,53,61,0.99,2.152173913,84,0.0,5.882352941,13.53333333,1.12,-12,-0.99,-3,1.0,-0.8
2b6a75175bbca4e9,"December 14, 2024",Light Heavyweight,1,Navajo Stirling,Tuco Tokkos,27.5,76.0,79.0,205.0,7,100.0,3,3,6.43,2.49,52,61,1.2,4.0,78,0.0,14.28571429,3.6,34.9,76.0,76.0,205.0,15,66.66666667,0,0,2.51,4.99,38,48,2.65,6.625,33,0.0,10.0,14.4,3.92,14,-1.45,45,3.0,-7.4
9c24c03131d5b49a,"December 14, 2024",Lightweight,1,Michael Johnson,Ottman Azaitar,38.9,70.0,73.0,155.0,43,55.81395349,4,2,4.23,3.8,39,58,0.61,1.525,81,0.0,37.5,1.70212766,35.2,68.0,71.0,155.0,16,81.25,2,0,4.43,4.11,44,52,0.0,0.0,100,0.0,38.46153846,0.0,-0.2,-5,0.61,-19,2.0,3.7
b0be38110c2d8b84,"December 14, 2024",Lightweight,1,Joel Alvarez,Drakkar Klose,32.2,75.0,77.0,155.0,25,88.0,7,3,4.51,3.32,53,50,0.0,0.0,40,1.2,22.72727273,1.428571429,37.2,69.0,70.0,155.0,19,78.94736842,7,0,4.33,3.54,55,50,1.65,6.111111111,69,0.0,26.66666667,24.28571429,0.18,-2,-1.65,-29,7.0,-5.0
ebeeed2595266bbc,"December 14, 2024",Featherweight,1,Sean Woodson,Fernando Padilla,32.9,74.0,78.0,145.0,16,81.25,7,0,5.57,4.18,46,58,0.58,1.054545455,84,0.3,30.76923077,12.68456376,28.4,73.0,76.0,145.0,22,72.72727273,2,0,6.07,5.74,40,52,0.0,0.0,100,0.6,12.5,1.812080537,-0.5,6,0.58,-16,2.0,4.5
cf258c17234d649e,"December 14, 2024",Featherweight,0,Miles Johns,Felipe Lima,31.1,67.0,66.0,145.0,18,83.33333333,6,0,3.16,2.65,44,67,0.92,4.6,81,0.0,20.0,6.333333333,27.0,66.0,68.0,145.0,15,93.33333333,2,2,3.5,2.32,45,72,1.71,4.071428571,83,1.1,0.0,11.66666667,-0.34,-1,-0.79,-2,-2.0,4.1
